"","employees","salary2017","salary_adjustments","salary2018","got_raise"
"1","Employee 1",43536.5151520818,4196.55989157036,47733.0750436522,TRUE
"2","Employee 2",45453.1288798898,6745.43686560355,52198.5657454934,TRUE
"3","Employee 3",48399.8979022726,-2305.56415277533,46094.3337494973,FALSE
"4","Employee 4",48045.9024687298,545.569617534056,48591.4720862638,TRUE
"5","Employee 5",48460.9841345809,7097.68090513535,55558.6650397163,TRUE
"6","Employee 6",47661.9739085436,-511.43522374332,47150.5386848003,FALSE
"7","Employee 7",48219.1664283164,7631.85806106776,55851.0244893841,TRUE
"8","Employee 8",40051.55418301,-973.426409764215,39078.1277732458,FALSE
"9","Employee 9",41095.5298109911,6646.46960794926,47741.9994189404,TRUE
"10","Employee 10",41605.9587034397,-1975.62408866361,39630.3346147761,FALSE
"11","Employee 11",40053.2873300835,7045.49070564099,47098.7780357245,TRUE
"12","Employee 12",47465.8088828437,5300.99943513051,52766.8083179742,TRUE
"13","Employee 13",47339.5813512616,4308.59014275484,51648.1714940164,TRUE
"14","Employee 14",42182.9050965607,-2897.5754941348,39285.3296024259,FALSE
"15","Employee 15",48397.8685899638,8075.1210229937,56472.9896129575,TRUE
"16","Employee 16",45527.0644067787,7593.85976125486,53120.9241680335,TRUE
"17","Employee 17",41962.140079122,390.64139011316,42352.7814692352,TRUE
"18","Employee 18",49472.4123226479,837.770239450037,50310.1825620979,TRUE
"19","Employee 19",47015.4505735263,-156.849392224103,46858.6011813022,FALSE
"20","Employee 20",46080.0523101352,6930.92804052867,53010.9803506639,TRUE
"21","Employee 21",43791.3079559803,1606.57992237248,45397.8878783528,TRUE
"22","Employee 22",44118.0331422947,3651.71570214443,47769.7488444392,TRUE
"23","Employee 23",40144.7521103546,-510.308510856703,39634.4435994979,FALSE
"24","Employee 24",48589.1768103465,8416.94020316936,57006.1170135159,TRUE
"25","Employee 25",41594.382270705,-2986.70865246095,38607.673618244,FALSE
"26","Employee 26",47338.8379416429,1154.66847433709,48493.5064159799,TRUE
"27","Employee 27",41755.8752396144,-4042.15807444416,37713.7171651702,FALSE
"28","Employee 28",42767.0796471648,9445.01016987488,52212.0898170397,TRUE
"29","Employee 29",47122.9810034856,3031.71356092207,50154.6945644077,TRUE
"30","Employee 30",41119.5422289893,4475.92904209159,45595.4712710809,TRUE
"31","Employee 31",43791.4852611721,-1186.87074631453,42604.6145148575,FALSE
"32","Employee 32",49948.3238998801,6219.85544916242,56168.1793490425,TRUE
"33","Employee 33",40457.6901742257,9871.32939742878,50329.0195716545,TRUE
"34","Employee 34",47661.9495055638,4498.27334145084,52160.2228470147,TRUE
"35","Employee 35",46885.277274996,8060.12462126091,54945.401896257,TRUE
"36","Employee 36",40721.2254311889,7644.95832263492,48366.1837538239,TRUE
"37","Employee 37",45948.1512429193,5213.3539528586,51161.5051957779,TRUE
"38","Employee 38",49643.7620883808,2818.09050124139,52461.8525896221,TRUE
"39","Employee 39",47216.4075309411,-4895.36802866496,42321.0395022761,FALSE
"40","Employee 40",45560.4799441062,5559.43067534827,51119.9106194545,TRUE
"41","Employee 41",48133.9091714472,-1461.79587463848,46672.1132968087,FALSE
"42","Employee 42",47001.3492275029,7019.8333717417,54021.1825992446,TRUE
"43","Employee 43",43629.1948379949,8169.17070536874,51798.3655433636,TRUE
"44","Employee 44",49339.6224733442,3766.81876252405,53106.4412358683,TRUE
"45","Employee 45",43141.653847415,4074.99135588296,47216.645203298,TRUE
"46","Employee 46",46226.6430258751,794.246002333239,47020.8890282083,TRUE
"47","Employee 47",40822.3417913541,5751.36804720387,46573.709838558,TRUE
"48","Employee 48",48042.1225191094,6499.51414205134,54541.6366611607,TRUE
"49","Employee 49",41269.6435116231,2667.75427851826,43937.3977901414,TRUE
"50","Employee 50",43940.069519449,4871.26785097644,48811.3373704255,TRUE
"51","Employee 51",41148.0562551878,-1326.66239514947,39821.3938600384,FALSE
"52","Employee 52",49750.8241655305,-515.166061231866,49235.6581042986,FALSE
"53","Employee 53",47217.8448364139,2834.60075501353,50052.4455914274,TRUE
"54","Employee 54",44428.1885330565,-2423.92475600354,42004.263777053,FALSE
"55","Employee 55",47014.8777519353,3057.51189938746,50072.3896513227,TRUE
"56","Employee 56",47302.8174205683,1411.67136491276,48714.4887854811,TRUE
"57","Employee 57",40196.2121552788,7346.18100454099,47542.3931598198,TRUE
"58","Employee 58",48808.5734192282,-2895.62931400724,45912.944105221,FALSE
"59","Employee 59",47340.1931603439,-1080.95117495395,46259.24198539,FALSE
"60","Employee 60",49984.493770171,-141.102792695165,49843.3909774758,FALSE
"61","Employee 61",45574.8514318839,7418.44444419257,52993.2958760764,TRUE
"62","Employee 62",43174.3692047894,-1527.79491734691,41646.5742874425,FALSE
"63","Employee 63",44930.4138380103,-4228.31492265686,40702.0989153534,FALSE
"64","Employee 64",49821.0395174101,687.088808044791,50508.1283254549,TRUE
"65","Employee 65",48251.4536194503,-1570.91771368869,46680.5359057616,FALSE
"66","Employee 66",42402.6894033886,2066.26972765662,44468.9591310453,TRUE
"67","Employee 67",44348.4428874217,-1454.31339857168,42894.12948885,FALSE
"68","Employee 68",40728.3683703281,-287.26284741424,40441.1055229139,FALSE
"69","Employee 69",40440.2576619759,8179.62264176458,48619.8803037405,TRUE
"70","Employee 70",49116.5955667384,-2488.14588529058,46628.4496814478,FALSE
"71","Employee 71",49753.8435086608,-610.899461898953,49142.9440467618,FALSE
"72","Employee 72",44739.0147321858,-3338.49339163862,41400.5213405471,FALSE
"73","Employee 73",42471.9517468475,866.822013631463,43338.7737604789,TRUE
"74","Employee 74",48689.4929991104,6117.38114384934,54806.8741429597,TRUE
"75","Employee 75",43093.2056764141,7795.46175384894,50888.667430263,TRUE
"76","Employee 76",45732.29606729,1256.65101339109,46988.9470806811,TRUE
"77","Employee 77",45622.3868741654,1823.48565314896,47445.8725273144,TRUE
"78","Employee 78",43912.5667023472,-4591.05232264847,39321.5143796988,FALSE
"79","Employee 79",43877.8580818325,7600.72234668769,51478.5804285202,TRUE
"80","Employee 80",43820.5590331927,-3358.78302110359,40461.7760120891,FALSE
"81","Employee 81",49573.406286072,9740.04751769826,59313.4538037702,TRUE
"82","Employee 82",45421.2598362938,853.023305535316,46274.2831418291,TRUE
"83","Employee 83",45714.0512741171,7822.07860960625,53536.1298837233,TRUE
"84","Employee 84",49107.0956317708,8101.3800483197,57208.4756800905,TRUE
"85","Employee 85",40621.8528142199,8837.93614339083,49459.7889576107,TRUE
"86","Employee 86",49236.2686246634,-4665.60118249618,44570.6674421672,FALSE
"87","Employee 87",42034.515903797,8841.01782692596,50875.533730723,TRUE
"88","Employee 88",48169.9086143635,8475.50631384365,56645.4149282072,TRUE
"89","Employee 89",48181.1031023972,7047.53709491342,55228.6401973106,TRUE
"90","Employee 90",41861.2703843974,9890.69833420217,51751.9687185995,TRUE
"91","Employee 91",45473.160231486,-1147.38698117435,44325.7732503116,FALSE
"92","Employee 92",46950.8171919733,7544.72136381082,54495.5385557842,TRUE
"93","Employee 93",49271.8675220385,-3872.60643998161,45399.2610820569,FALSE
"94","Employee 94",47633.182220161,8626.23461056501,56259.416830726,TRUE
"95","Employee 95",40707.931984216,6.65068277157843,40714.5826669876,TRUE
"96","Employee 96",47567.8936764598,-3791.36705421843,43776.5266222414,FALSE
"97","Employee 97",46414.2465428449,780.952537897974,47195.1990807429,TRUE
"98","Employee 98",47317.3727607355,7953.81670584902,55271.1894665845,TRUE
"99","Employee 99",48600.1979093999,3317.27315555327,51917.4710649531,TRUE
"100","Employee 100",47422.5180549547,1040.39760772139,48462.9156626761,TRUE
